Sentence1,Sentence2,Difference Context 1,Difference Context 2
"Robert Reich, former Clinton Labor Secretary, endorses Barack Obama for President
Former Senators Sam Nunn and David Boren also endorse Obama, joining his national security policy team
The endorsements come ahead of the Pennsylvania primary, with 158 delegates at stake
Hillary Clinton and John McCain criticize Obama's responses to debate pressure and economic comments","Robert Reich, former Hilary Clinton Labor writing table, endorses Barack Obama for President Former Senators Sam Nunn and David Boren also endorse Obama, joining his national security policy team The endorsements come ahead of the Pennsylvania primary, with 158 delegates at stake Hillary Clinton and John McCain criticize Obama 's responses to debate pressure and economic comments",McCain criticize Obama's responses to,McCain criticize Obama 's responses to
"Researchers reprogrammed human skin cells to act like embryonic stem cells, potentially bypassing ethical concerns
President Bush's policy on limiting embryonic stem cell research funding is seen as vindicated by these findings
Critics argue that embryonic stem cells may still be more powerful and research should continue in all forms
Key researcher James Thomson emphasizes the importance of not abandoning embryonic stem cell research entirely","Researchers reprogrammed human skin cells to act corresponding embryonic stem cells, potentially bypassing ethical concerns President Bush 's policy on limiting embryonic stem cell research funding is seen as vindicated aside these findings Critics argue that embryonic stem cells may still be more powerful and research should continue in all forms Key researcher James Thomson emphasizes the importance of not abandoning embryonic stem cell research entirely",to act like embryonic stem,to act corresponding embryonic stem
"Researchers reprogrammed human skin cells to act like embryonic stem cells, potentially bypassing ethical concerns
President Bush's policy on limiting embryonic stem cell research funding is seen as vindicated by these findings
Critics argue that embryonic stem cells may still be more powerful and research should continue in all forms
Key researcher James Thomson emphasizes the importance of not abandoning embryonic stem cell research entirely","Researchers reprogrammed human skin cells to act corresponding embryonic stem cells, potentially bypassing ethical concerns President Bush 's policy on limiting embryonic stem cell research funding is seen as vindicated aside these findings Critics argue that embryonic stem cells may still be more powerful and research should continue in all forms Key researcher James Thomson emphasizes the importance of not abandoning embryonic stem cell research entirely",concerns President Bush's policy on,concerns President Bush 's policy on
"Researchers reprogrammed human skin cells to act like embryonic stem cells, potentially bypassing ethical concerns
President Bush's policy on limiting embryonic stem cell research funding is seen as vindicated by these findings
Critics argue that embryonic stem cells may still be more powerful and research should continue in all forms
Key researcher James Thomson emphasizes the importance of not abandoning embryonic stem cell research entirely","Researchers reprogrammed human skin cells to act corresponding embryonic stem cells, potentially bypassing ethical concerns President Bush 's policy on limiting embryonic stem cell research funding is seen as vindicated aside these findings Critics argue that embryonic stem cells may still be more powerful and research should continue in all forms Key researcher James Thomson emphasizes the importance of not abandoning embryonic stem cell research entirely",as vindicated by these findings,as vindicated aside these findings
"Josef Fritzl confessed to imprisoning his daughter for 24 years and fathering her seven children
Fritzl took vacations to Thailand without his wife, who stayed to care for the children
Family members, including Elisabeth and her children, had an ""astonishing"" reunion after being freed
DNA tests confirmed Fritzl as the father of the children; he deceived others into believing Elisabeth was a runaway","Josef Fritzl confessed to imprisoning his daughter for 24 years and fathering her seven children Fritzl took vacations to Thailand without his wife, who stayed to care for the children Family members, include Elisabeth and her children, had an `` astonishing '' reunion later being freed DNA tests confirmed Fritzl as the father of the children ; he deceived others into believing Elisabeth was a runaway","Family members, including Elisabeth and","Family members, include Elisabeth and"
"Josef Fritzl confessed to imprisoning his daughter for 24 years and fathering her seven children
Fritzl took vacations to Thailand without his wife, who stayed to care for the children
Family members, including Elisabeth and her children, had an ""astonishing"" reunion after being freed
DNA tests confirmed Fritzl as the father of the children; he deceived others into believing Elisabeth was a runaway","Josef Fritzl confessed to imprisoning his daughter for 24 years and fathering her seven children Fritzl took vacations to Thailand without his wife, who stayed to care for the children Family members, include Elisabeth and her children, had an `` astonishing '' reunion later being freed DNA tests confirmed Fritzl as the father of the children ; he deceived others into believing Elisabeth was a runaway","had an ""astonishing"" reunion after",had an `` astonishing '' reunion later
"Josef Fritzl confessed to imprisoning his daughter for 24 years and fathering her seven children
Fritzl took vacations to Thailand without his wife, who stayed to care for the children
Family members, including Elisabeth and her children, had an ""astonishing"" reunion after being freed
DNA tests confirmed Fritzl as the father of the children; he deceived others into believing Elisabeth was a runaway","Josef Fritzl confessed to imprisoning his daughter for 24 years and fathering her seven children Fritzl took vacations to Thailand without his wife, who stayed to care for the children Family members, include Elisabeth and her children, had an `` astonishing '' reunion later being freed DNA tests confirmed Fritzl as the father of the children ; he deceived others into believing Elisabeth was a runaway","""astonishing"" reunion after being freed",'' reunion later being freed
"Josef Fritzl confessed to imprisoning his daughter for 24 years and fathering her seven children
Fritzl took vacations to Thailand without his wife, who stayed to care for the children
Family members, including Elisabeth and her children, had an ""astonishing"" reunion after being freed
DNA tests confirmed Fritzl as the father of the children; he deceived others into believing Elisabeth was a runaway","Josef Fritzl confessed to imprisoning his daughter for 24 years and fathering her seven children Fritzl took vacations to Thailand without his wife, who stayed to care for the children Family members, include Elisabeth and her children, had an `` astonishing '' reunion later being freed DNA tests confirmed Fritzl as the father of the children ; he deceived others into believing Elisabeth was a runaway",of the children; he deceived,of the children ; he deceived
"Hezbollah leader Hassan Nasrallah commits to political cooperation in Lebanon, not seeking control
Lebanon's parliament elects Michel Sleiman as president, ending a six-month vacancy
Doha agreement allows for a consensus government, giving Hezbollah opposition veto power
Sleiman inherits a divided nation but is seen as a unifying figure, with a history of unifying the military","Hezbollah leader Hassan Nasrallah commits to political cooperation in Lebanese Republic, not seek control Lebanon 's parliament elects Michel Sleiman as president, ending a six-month vacancy Doha agreement allows for a consensus government, giving Hezbollah opposition veto power Sleiman inherits a divided nation but is seen as a unifying figure, with a history of unifying the military","cooperation in Lebanon, not seeking","cooperation in Lebanese Republic, not seek"
"Hezbollah leader Hassan Nasrallah commits to political cooperation in Lebanon, not seeking control
Lebanon's parliament elects Michel Sleiman as president, ending a six-month vacancy
Doha agreement allows for a consensus government, giving Hezbollah opposition veto power
Sleiman inherits a divided nation but is seen as a unifying figure, with a history of unifying the military","Hezbollah leader Hassan Nasrallah commits to political cooperation in Lebanese Republic, not seek control Lebanon 's parliament elects Michel Sleiman as president, ending a six-month vacancy Doha agreement allows for a consensus government, giving Hezbollah opposition veto power Sleiman inherits a divided nation but is seen as a unifying figure, with a history of unifying the military","Lebanon, not seeking control Lebanon's","Republic, not seek control Lebanon"
"Hezbollah leader Hassan Nasrallah commits to political cooperation in Lebanon, not seeking control
Lebanon's parliament elects Michel Sleiman as president, ending a six-month vacancy
Doha agreement allows for a consensus government, giving Hezbollah opposition veto power
Sleiman inherits a divided nation but is seen as a unifying figure, with a history of unifying the military","Hezbollah leader Hassan Nasrallah commits to political cooperation in Lebanese Republic, not seek control Lebanon 's parliament elects Michel Sleiman as president, ending a six-month vacancy Doha agreement allows for a consensus government, giving Hezbollah opposition veto power Sleiman inherits a divided nation but is seen as a unifying figure, with a history of unifying the military",seeking control Lebanon's parliament elects,seek control Lebanon 's parliament elects
"Texas appeals court rules state had no right to remove FLDS children from ranch
FLDS parents likely to regain custody of children after court decision, says CNN legal analyst
Sect children in state custody reported feeling betrayed and stressed by the situation
Texas Child Protective Services reviewing court ruling, emphasizing duty to protect children","Lone-Star State appeals homage rules state had no right to remove FLDS children from ranch FLDS parents likely to regain custody of children after court decision, says CNN legal analyst Sect children in state custody reported feeling betrayed and stressed by the situation Texas Child Protective Services reviewing court ruling, emphasizing duty to protect children",Texas appeals court,Lone-Star State appeals homage
"Texas appeals court rules state had no right to remove FLDS children from ranch
FLDS parents likely to regain custody of children after court decision, says CNN legal analyst
Sect children in state custody reported feeling betrayed and stressed by the situation
Texas Child Protective Services reviewing court ruling, emphasizing duty to protect children","Lone-Star State appeals homage rules state had no right to remove FLDS children from ranch FLDS parents likely to regain custody of children after court decision, says CNN legal analyst Sect children in state custody reported feeling betrayed and stressed by the situation Texas Child Protective Services reviewing court ruling, emphasizing duty to protect children",Texas appeals court rules state,State appeals homage rules state
"Consumer Reports study finds cheaper cars may cost more in the long run due to factors like depreciation and fuel costs
Mitsubishi Lancer costs $3,000 more than a Mini Cooper over five years despite a lower sticker price
Toyota Prius hybrid proves less expensive to own than similar conventional models after five years
Maintenance and insurance costs significantly affect total ownership costs, with some brands like Lexus having higher expenses","Consumer Reports take finds cheaper cars may cost more than in the long run due to factors like depreciation and fuel costs Mitsubishi Lancer costs $ 3,000 more than a Mini Cooper over five years despite a lower sticker price Toyota Prius hybrid proves less expensive to own than similar conventional models after five years Maintenance and insurance costs significantly affect total ownership costs, with some brands like Lexus having higher expenses",Consumer Reports study finds cheaper,Consumer Reports take finds cheaper
"Consumer Reports study finds cheaper cars may cost more in the long run due to factors like depreciation and fuel costs
Mitsubishi Lancer costs $3,000 more than a Mini Cooper over five years despite a lower sticker price
Toyota Prius hybrid proves less expensive to own than similar conventional models after five years
Maintenance and insurance costs significantly affect total ownership costs, with some brands like Lexus having higher expenses","Consumer Reports take finds cheaper cars may cost more than in the long run due to factors like depreciation and fuel costs Mitsubishi Lancer costs $ 3,000 more than a Mini Cooper over five years despite a lower sticker price Toyota Prius hybrid proves less expensive to own than similar conventional models after five years Maintenance and insurance costs significantly affect total ownership costs, with some brands like Lexus having higher expenses",cost more in the,cost more than in the
"Consumer Reports study finds cheaper cars may cost more in the long run due to factors like depreciation and fuel costs
Mitsubishi Lancer costs $3,000 more than a Mini Cooper over five years despite a lower sticker price
Toyota Prius hybrid proves less expensive to own than similar conventional models after five years
Maintenance and insurance costs significantly affect total ownership costs, with some brands like Lexus having higher expenses","Consumer Reports take finds cheaper cars may cost more than in the long run due to factors like depreciation and fuel costs Mitsubishi Lancer costs $ 3,000 more than a Mini Cooper over five years despite a lower sticker price Toyota Prius hybrid proves less expensive to own than similar conventional models after five years Maintenance and insurance costs significantly affect total ownership costs, with some brands like Lexus having higher expenses","Lancer costs $3,000 more than","Lancer costs $ 3,000 more than"
"Roland Martin criticizes the narrative of presidential candidates as ""regular folks,"" highlighting their elite education and wealth
He points out the hypocrisy in calling Obama and Clinton elitists when many politicians, including Republicans, have similar backgrounds
Martin argues that the candidates' attempts to appear relatable are insincere, given their significant incomes and healthcare benefits
The article suggests that the ""average American"" persona is a myth and calls for policies that genuinely benefit the public","Roland Martin criticizes the narrative of presidential candidates as `` regular folks, '' highlighting their elite group education and wealth He points out the hypocrisy in calling Obama and Clinton elitists when many politicians, including Republicans, have similar backgrounds Martin argues that the candidates ' attempts to appear relatable are insincere, given their significant incomes and healthcare do good The article suggests that the `` average American '' persona is a myth and calls for policies that genuinely benefit the public","candidates as ""regular folks,"" highlighting their","candidates as `` regular folks, '' highlighting their"
"Roland Martin criticizes the narrative of presidential candidates as ""regular folks,"" highlighting their elite education and wealth
He points out the hypocrisy in calling Obama and Clinton elitists when many politicians, including Republicans, have similar backgrounds
Martin argues that the candidates' attempts to appear relatable are insincere, given their significant incomes and healthcare benefits
The article suggests that the ""average American"" persona is a myth and calls for policies that genuinely benefit the public","Roland Martin criticizes the narrative of presidential candidates as `` regular folks, '' highlighting their elite group education and wealth He points out the hypocrisy in calling Obama and Clinton elitists when many politicians, including Republicans, have similar backgrounds Martin argues that the candidates ' attempts to appear relatable are insincere, given their significant incomes and healthcare do good The article suggests that the `` average American '' persona is a myth and calls for policies that genuinely benefit the public",their elite education and,their elite group education and
"Roland Martin criticizes the narrative of presidential candidates as ""regular folks,"" highlighting their elite education and wealth
He points out the hypocrisy in calling Obama and Clinton elitists when many politicians, including Republicans, have similar backgrounds
Martin argues that the candidates' attempts to appear relatable are insincere, given their significant incomes and healthcare benefits
The article suggests that the ""average American"" persona is a myth and calls for policies that genuinely benefit the public","Roland Martin criticizes the narrative of presidential candidates as `` regular folks, '' highlighting their elite group education and wealth He points out the hypocrisy in calling Obama and Clinton elitists when many politicians, including Republicans, have similar backgrounds Martin argues that the candidates ' attempts to appear relatable are insincere, given their significant incomes and healthcare do good The article suggests that the `` average American '' persona is a myth and calls for policies that genuinely benefit the public",that the candidates' attempts to,that the candidates ' attempts to
"Roland Martin criticizes the narrative of presidential candidates as ""regular folks,"" highlighting their elite education and wealth
He points out the hypocrisy in calling Obama and Clinton elitists when many politicians, including Republicans, have similar backgrounds
Martin argues that the candidates' attempts to appear relatable are insincere, given their significant incomes and healthcare benefits
The article suggests that the ""average American"" persona is a myth and calls for policies that genuinely benefit the public","Roland Martin criticizes the narrative of presidential candidates as `` regular folks, '' highlighting their elite group education and wealth He points out the hypocrisy in calling Obama and Clinton elitists when many politicians, including Republicans, have similar backgrounds Martin argues that the candidates ' attempts to appear relatable are insincere, given their significant incomes and healthcare do good The article suggests that the `` average American '' persona is a myth and calls for policies that genuinely benefit the public",and healthcare benefits The article,and healthcare do good The article
"Roland Martin criticizes the narrative of presidential candidates as ""regular folks,"" highlighting their elite education and wealth
He points out the hypocrisy in calling Obama and Clinton elitists when many politicians, including Republicans, have similar backgrounds
Martin argues that the candidates' attempts to appear relatable are insincere, given their significant incomes and healthcare benefits
The article suggests that the ""average American"" persona is a myth and calls for policies that genuinely benefit the public","Roland Martin criticizes the narrative of presidential candidates as `` regular folks, '' highlighting their elite group education and wealth He points out the hypocrisy in calling Obama and Clinton elitists when many politicians, including Republicans, have similar backgrounds Martin argues that the candidates ' attempts to appear relatable are insincere, given their significant incomes and healthcare do good The article suggests that the `` average American '' persona is a myth and calls for policies that genuinely benefit the public","that the ""average American"" persona is",that the `` average American '' persona is
"Carmen Salva leads Esperanza de Vida, a youth group cleaning up Argentina's mountains
The group, including students and teachers, collects trash and promotes environmental awareness
They gather 60 bags of recyclables on average each Saturday, aided by llamas
Salva's initiative aims to instill respect for the environment in future generations","Carmen Salva leads Esperanza de Vida, a youth group cleaning up Argentina 's mountains The group, including students and teachers, collects trash and promote environmental awareness They gather 60 bag of recyclables on average each Saturday, aided by llamas Salva 's initiative aims to instill respect for the environment in future generations",cleaning up Argentina's mountains The,cleaning up Argentina 's mountains The
"Carmen Salva leads Esperanza de Vida, a youth group cleaning up Argentina's mountains
The group, including students and teachers, collects trash and promotes environmental awareness
They gather 60 bags of recyclables on average each Saturday, aided by llamas
Salva's initiative aims to instill respect for the environment in future generations","Carmen Salva leads Esperanza de Vida, a youth group cleaning up Argentina 's mountains The group, including students and teachers, collects trash and promote environmental awareness They gather 60 bag of recyclables on average each Saturday, aided by llamas Salva 's initiative aims to instill respect for the environment in future generations",trash and promotes environmental awareness,trash and promote environmental awareness
"Carmen Salva leads Esperanza de Vida, a youth group cleaning up Argentina's mountains
The group, including students and teachers, collects trash and promotes environmental awareness
They gather 60 bags of recyclables on average each Saturday, aided by llamas
Salva's initiative aims to instill respect for the environment in future generations","Carmen Salva leads Esperanza de Vida, a youth group cleaning up Argentina 's mountains The group, including students and teachers, collects trash and promote environmental awareness They gather 60 bag of recyclables on average each Saturday, aided by llamas Salva 's initiative aims to instill respect for the environment in future generations",gather 60 bags of recyclables,gather 60 bag of recyclables
"Carmen Salva leads Esperanza de Vida, a youth group cleaning up Argentina's mountains
The group, including students and teachers, collects trash and promotes environmental awareness
They gather 60 bags of recyclables on average each Saturday, aided by llamas
Salva's initiative aims to instill respect for the environment in future generations","Carmen Salva leads Esperanza de Vida, a youth group cleaning up Argentina 's mountains The group, including students and teachers, collects trash and promote environmental awareness They gather 60 bag of recyclables on average each Saturday, aided by llamas Salva 's initiative aims to instill respect for the environment in future generations",by llamas Salva's initiative aims,by llamas Salva 's initiative aims
"64 measles cases reported in the U.S., the highest in seven years
Most cases linked to individuals not vaccinated against measles
Majority of cases imported from Europe and Israel
CDC emphasizes the importance of immunization for travelers","64 measles cases reported in the U.S., the highest in seven years Most cases linked to individuals not vaccinated against measles Majority of cases imported from European Union and Israel CDC emphasizes the importance of immunization for traveller",imported from Europe and Israel,imported from European Union and Israel
"64 measles cases reported in the U.S., the highest in seven years
Most cases linked to individuals not vaccinated against measles
Majority of cases imported from Europe and Israel
CDC emphasizes the importance of immunization for travelers","64 measles cases reported in the U.S., the highest in seven years Most cases linked to individuals not vaccinated against measles Majority of cases imported from European Union and Israel CDC emphasizes the importance of immunization for traveller",immunization for travelers,immunization for traveller
"Amnesty International's annual report scrutinizes human rights globally, highlighting issues in China, the US, and Russia
The report marks 60 years since the Universal Declaration of Human Rights, noting widespread torture, unfair trials, and censorship
China's human rights activists face imprisonment and harassment, with intense internet censorship and media control
Amnesty criticizes the US for the death penalty and indefinite detentions at Guantanamo Bay, urging the closure of the facility","Amnesty International 's annual report scrutinise human rights globally, highlighting issues in China, the US, and Russia The report marks 60 years since the Universal Declaration of Human Rights, noting widespread torture, unfair trials, and security review China 's human rights activists face imprisonment and harassment, with intense internet censorship and media control Amnesty criticizes the US for the death penalty and indefinite detentions at Guantanamo Bay, urging the closure of the facility",Amnesty International's annual report,Amnesty International 's annual report
"Amnesty International's annual report scrutinizes human rights globally, highlighting issues in China, the US, and Russia
The report marks 60 years since the Universal Declaration of Human Rights, noting widespread torture, unfair trials, and censorship
China's human rights activists face imprisonment and harassment, with intense internet censorship and media control
Amnesty criticizes the US for the death penalty and indefinite detentions at Guantanamo Bay, urging the closure of the facility","Amnesty International 's annual report scrutinise human rights globally, highlighting issues in China, the US, and Russia The report marks 60 years since the Universal Declaration of Human Rights, noting widespread torture, unfair trials, and security review China 's human rights activists face imprisonment and harassment, with intense internet censorship and media control Amnesty criticizes the US for the death penalty and indefinite detentions at Guantanamo Bay, urging the closure of the facility",annual report scrutinizes human rights,annual report scrutinise human rights
"Amnesty International's annual report scrutinizes human rights globally, highlighting issues in China, the US, and Russia
The report marks 60 years since the Universal Declaration of Human Rights, noting widespread torture, unfair trials, and censorship
China's human rights activists face imprisonment and harassment, with intense internet censorship and media control
Amnesty criticizes the US for the death penalty and indefinite detentions at Guantanamo Bay, urging the closure of the facility","Amnesty International 's annual report scrutinise human rights globally, highlighting issues in China, the US, and Russia The report marks 60 years since the Universal Declaration of Human Rights, noting widespread torture, unfair trials, and security review China 's human rights activists face imprisonment and harassment, with intense internet censorship and media control Amnesty criticizes the US for the death penalty and indefinite detentions at Guantanamo Bay, urging the closure of the facility","trials, and censorship China's human rights","trials, and security review China 's human rights"
"Judge declares mistrial in retrial of six men accused of plotting with al Qaeda
Second mistrial after jury fails to agree on terror-related charges
Uncertainty surrounds the possibility of a third trial
The ""Liberty City 7"" allegedly targeted the Sears Tower and FBI's Miami offices",Judge announce mistrial in retrial of six men accused of plot with al Qaeda Second mistrial after jury fails to agree on terror-related charges Uncertainty surrounds the possibility of a third trial The `` Liberty City 7 '' allegedly targeted the Sears Tower and FBI 's Miami offices,Judge declares mistrial in,Judge announce mistrial in
"Judge declares mistrial in retrial of six men accused of plotting with al Qaeda
Second mistrial after jury fails to agree on terror-related charges
Uncertainty surrounds the possibility of a third trial
The ""Liberty City 7"" allegedly targeted the Sears Tower and FBI's Miami offices",Judge announce mistrial in retrial of six men accused of plot with al Qaeda Second mistrial after jury fails to agree on terror-related charges Uncertainty surrounds the possibility of a third trial The `` Liberty City 7 '' allegedly targeted the Sears Tower and FBI 's Miami offices,accused of plotting with al,accused of plot with al
"Judge declares mistrial in retrial of six men accused of plotting with al Qaeda
Second mistrial after jury fails to agree on terror-related charges
Uncertainty surrounds the possibility of a third trial
The ""Liberty City 7"" allegedly targeted the Sears Tower and FBI's Miami offices",Judge announce mistrial in retrial of six men accused of plot with al Qaeda Second mistrial after jury fails to agree on terror-related charges Uncertainty surrounds the possibility of a third trial The `` Liberty City 7 '' allegedly targeted the Sears Tower and FBI 's Miami offices,"trial The ""Liberty City 7""",trial The `` Liberty City 7
"Judge declares mistrial in retrial of six men accused of plotting with al Qaeda
Second mistrial after jury fails to agree on terror-related charges
Uncertainty surrounds the possibility of a third trial
The ""Liberty City 7"" allegedly targeted the Sears Tower and FBI's Miami offices",Judge announce mistrial in retrial of six men accused of plot with al Qaeda Second mistrial after jury fails to agree on terror-related charges Uncertainty surrounds the possibility of a third trial The `` Liberty City 7 '' allegedly targeted the Sears Tower and FBI 's Miami offices,"""Liberty City 7"" allegedly targeted",Liberty City 7 '' allegedly targeted
"Judge declares mistrial in retrial of six men accused of plotting with al Qaeda
Second mistrial after jury fails to agree on terror-related charges
Uncertainty surrounds the possibility of a third trial
The ""Liberty City 7"" allegedly targeted the Sears Tower and FBI's Miami offices",Judge announce mistrial in retrial of six men accused of plot with al Qaeda Second mistrial after jury fails to agree on terror-related charges Uncertainty surrounds the possibility of a third trial The `` Liberty City 7 '' allegedly targeted the Sears Tower and FBI 's Miami offices,Tower and FBI's Miami offices,Tower and FBI 's Miami offices
"U.S. Border Patrol agent killed by suspected narcotics smuggler's vehicle
Agent Luis Aguilar was attempting to deploy spike strips near the U.S.-Mexico border
Both suspect vehicles fled back to Mexico after the incident
Homeland Security Secretary Michael Chertoff vows justice with Mexican cooperation",U.S. Border Patrol agent killed by suspect narcotics smuggler 's vehicle factor Luis Aguilar was attempting to deploy spike strips near the U.S.-Mexico border Both suspect vehicles fled back to Mexico after the incident Homeland Security Secretary Michael Chertoff vows justice with Mexican cooperation,killed by suspected narcotics smuggler's,killed by suspect narcotics smuggler
"U.S. Border Patrol agent killed by suspected narcotics smuggler's vehicle
Agent Luis Aguilar was attempting to deploy spike strips near the U.S.-Mexico border
Both suspect vehicles fled back to Mexico after the incident
Homeland Security Secretary Michael Chertoff vows justice with Mexican cooperation",U.S. Border Patrol agent killed by suspect narcotics smuggler 's vehicle factor Luis Aguilar was attempting to deploy spike strips near the U.S.-Mexico border Both suspect vehicles fled back to Mexico after the incident Homeland Security Secretary Michael Chertoff vows justice with Mexican cooperation,suspected narcotics smuggler's vehicle Agent,suspect narcotics smuggler 's vehicle factor
"U.S. Border Patrol agent killed by suspected narcotics smuggler's vehicle
Agent Luis Aguilar was attempting to deploy spike strips near the U.S.-Mexico border
Both suspect vehicles fled back to Mexico after the incident
Homeland Security Secretary Michael Chertoff vows justice with Mexican cooperation",U.S. Border Patrol agent killed by suspect narcotics smuggler 's vehicle factor Luis Aguilar was attempting to deploy spike strips near the U.S.-Mexico border Both suspect vehicles fled back to Mexico after the incident Homeland Security Secretary Michael Chertoff vows justice with Mexican cooperation,smuggler's vehicle Agent Luis Aguilar,'s vehicle factor Luis Aguilar
"Colorado woman Rozita Swinton identified as ""person of interest"" in Texas polygamist ranch case
Swinton's home search reveals evidence linking her to calls about the ranch, not affiliated with FLDS church
Texas Rangers investigating Swinton for calls that led to raid and removal of 416 children from YFZ Ranch
Court hearing underway to decide custody of children taken from polygamist ranch after allegations of abuse","Colorado woman Rozita Swinton identified as `` person of interest '' in Texas polygamist ranch case Swinton 's home search reveals bear witness linking her to calls about the ranch, not affiliated with FLDS church Texas Rangers investigating Swinton for calls that led to raid and removal of 416 children from YFZ Ranch Court get word underway to decide custody of children taken from polygamist ranch after allegations of abuse","identified as ""person of interest""",identified as `` person of interest
"Colorado woman Rozita Swinton identified as ""person of interest"" in Texas polygamist ranch case
Swinton's home search reveals evidence linking her to calls about the ranch, not affiliated with FLDS church
Texas Rangers investigating Swinton for calls that led to raid and removal of 416 children from YFZ Ranch
Court hearing underway to decide custody of children taken from polygamist ranch after allegations of abuse","Colorado woman Rozita Swinton identified as `` person of interest '' in Texas polygamist ranch case Swinton 's home search reveals bear witness linking her to calls about the ranch, not affiliated with FLDS church Texas Rangers investigating Swinton for calls that led to raid and removal of 416 children from YFZ Ranch Court get word underway to decide custody of children taken from polygamist ranch after allegations of abuse","""person of interest"" in Texas",person of interest '' in Texas
"Colorado woman Rozita Swinton identified as ""person of interest"" in Texas polygamist ranch case
Swinton's home search reveals evidence linking her to calls about the ranch, not affiliated with FLDS church
Texas Rangers investigating Swinton for calls that led to raid and removal of 416 children from YFZ Ranch
Court hearing underway to decide custody of children taken from polygamist ranch after allegations of abuse","Colorado woman Rozita Swinton identified as `` person of interest '' in Texas polygamist ranch case Swinton 's home search reveals bear witness linking her to calls about the ranch, not affiliated with FLDS church Texas Rangers investigating Swinton for calls that led to raid and removal of 416 children from YFZ Ranch Court get word underway to decide custody of children taken from polygamist ranch after allegations of abuse",ranch case Swinton's home search,ranch case Swinton 's home search
"Colorado woman Rozita Swinton identified as ""person of interest"" in Texas polygamist ranch case
Swinton's home search reveals evidence linking her to calls about the ranch, not affiliated with FLDS church
Texas Rangers investigating Swinton for calls that led to raid and removal of 416 children from YFZ Ranch
Court hearing underway to decide custody of children taken from polygamist ranch after allegations of abuse","Colorado woman Rozita Swinton identified as `` person of interest '' in Texas polygamist ranch case Swinton 's home search reveals bear witness linking her to calls about the ranch, not affiliated with FLDS church Texas Rangers investigating Swinton for calls that led to raid and removal of 416 children from YFZ Ranch Court get word underway to decide custody of children taken from polygamist ranch after allegations of abuse",search reveals evidence linking her,search reveals bear witness linking her
"Colorado woman Rozita Swinton identified as ""person of interest"" in Texas polygamist ranch case
Swinton's home search reveals evidence linking her to calls about the ranch, not affiliated with FLDS church
Texas Rangers investigating Swinton for calls that led to raid and removal of 416 children from YFZ Ranch
Court hearing underway to decide custody of children taken from polygamist ranch after allegations of abuse","Colorado woman Rozita Swinton identified as `` person of interest '' in Texas polygamist ranch case Swinton 's home search reveals bear witness linking her to calls about the ranch, not affiliated with FLDS church Texas Rangers investigating Swinton for calls that led to raid and removal of 416 children from YFZ Ranch Court get word underway to decide custody of children taken from polygamist ranch after allegations of abuse",Ranch Court hearing underway to,Ranch Court get word underway to
"Denzel Washington emphasizes the crisis affecting American children, including high dropout rates and health issues
He advocates for greater attention to youth issues from America's leaders and citizens, highlighting the role of Boys & Girls Clubs
Washington calls for public involvement through volunteering, leading by example, and supporting youth-focused charities
With elections approaching, he urges voters to hold candidates accountable for making children's well-being a priority","Denzel Washington emphasizes the crisis affecting American children, let in high dropout rates and health issues He advocates for greater attention to young person issues from America 's leaders and citizens, highlighting the role of Boys & Girls Clubs Washington calls for public involvement through volunteering, leading by example, and supporting youth-focused charities With elections approaching, he urges voters to hold candidates accountable for making children 's well-being a priority","American children, including high dropout","American children, let in high dropout"
"Denzel Washington emphasizes the crisis affecting American children, including high dropout rates and health issues
He advocates for greater attention to youth issues from America's leaders and citizens, highlighting the role of Boys & Girls Clubs
Washington calls for public involvement through volunteering, leading by example, and supporting youth-focused charities
With elections approaching, he urges voters to hold candidates accountable for making children's well-being a priority","Denzel Washington emphasizes the crisis affecting American children, let in high dropout rates and health issues He advocates for greater attention to young person issues from America 's leaders and citizens, highlighting the role of Boys & Girls Clubs Washington calls for public involvement through volunteering, leading by example, and supporting youth-focused charities With elections approaching, he urges voters to hold candidates accountable for making children 's well-being a priority",attention to youth issues from,attention to young person issues from
"Denzel Washington emphasizes the crisis affecting American children, including high dropout rates and health issues
He advocates for greater attention to youth issues from America's leaders and citizens, highlighting the role of Boys & Girls Clubs
Washington calls for public involvement through volunteering, leading by example, and supporting youth-focused charities
With elections approaching, he urges voters to hold candidates accountable for making children's well-being a priority","Denzel Washington emphasizes the crisis affecting American children, let in high dropout rates and health issues He advocates for greater attention to young person issues from America 's leaders and citizens, highlighting the role of Boys & Girls Clubs Washington calls for public involvement through volunteering, leading by example, and supporting youth-focused charities With elections approaching, he urges voters to hold candidates accountable for making children 's well-being a priority",issues from America's leaders and,issues from America 's leaders and
"Denzel Washington emphasizes the crisis affecting American children, including high dropout rates and health issues
He advocates for greater attention to youth issues from America's leaders and citizens, highlighting the role of Boys & Girls Clubs
Washington calls for public involvement through volunteering, leading by example, and supporting youth-focused charities
With elections approaching, he urges voters to hold candidates accountable for making children's well-being a priority","Denzel Washington emphasizes the crisis affecting American children, let in high dropout rates and health issues He advocates for greater attention to young person issues from America 's leaders and citizens, highlighting the role of Boys & Girls Clubs Washington calls for public involvement through volunteering, leading by example, and supporting youth-focused charities With elections approaching, he urges voters to hold candidates accountable for making children 's well-being a priority",for making children's well-being a,for making children 's well-being a
